date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-08-24,23:47,1787595439,INFY.NS,Infosys,Bearish,PE,1140,1130,1102.68,1143.66,10.95,26.76,6.57,144.38,73,53,Aligned,1.28,7.31,High,1,71,2026-08-25,,,
2026-08-24,23:47,1787595439,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2284.1,2225.55,2313.37,23.25,52.66,13.95,126.49,89,61,Aligned,0.72,3.01,High,1,71,2026-08-25,,,
2026-08-24,23:47,1787595439,PETRONET.NS,Petronet LNG,Bullish,CE,295,295.95,302.08,292.89,1.1,2.99,0.66,171.82,57,29,Neutral,1.64,31.82,High,1,63,2026-08-25,,,
2026-08-24,23:47,1787595439,AXISBANK.NS,Axis Bank,Bearish,PE,1240,1236,1214.63,1246.69,7.2,21.46,4.32,198.06,50,42,Aligned,1.31,56.94,High,1,44,2026-08-25,,,
2026-08-24,23:47,1787595439,ICICIBANK.NS,ICICI Bank,Bearish,PE,1420,1415,1394.6,1425.2,7.3,20.24,4.38,177.26,38,36,Aligned,1.05,31.51,High,1,43,2026-08-25,,,
2026-08-24,23:47,1787595451,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2284.1,2225.55,2313.37,23.25,52.66,13.95,126.49,89,61,Aligned,0.72,3.01,High,1,71,2026-08-25,,,
2026-08-24,23:47,1787595451,INFY.NS,Infosys,Bearish,PE,1140,1130,1102.68,1143.66,10.95,26.76,6.57,144.38,59,46,Aligned,1.28,7.31,High,1,67,2026-08-25,,,
2026-08-24,23:47,1787595451,ICICIBANK.NS,ICICI Bank,Bearish,PE,1420,1415,1394.6,1425.2,7.3,20.24,4.38,177.26,38,36,Aligned,1.05,31.51,High,1,43,2026-08-25,,,
2026-08-24,23:48,1787595538,INFY.NS,Infosys,Bearish,PE,1140,1130,1102.68,1143.66,10.95,26.76,6.57,144.38,59,46,Aligned,1.28,7.31,High,1,67,2026-08-25,,,
2026-08-24,23:48,1787595538,PETRONET.NS,Petronet LNG,Bullish,CE,295,295.95,302.08,292.89,1.1,2.99,0.66,171.82,57,29,Neutral,1.64,31.82,High,1,63,2026-08-25,,,
