date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-09-03,09:30,1788408046,MARUTI.NS,Maruti Suzuki,Bullish,CE,13000,12824,12944.59,12739.59,202.6,254.39,166.35,25.56,49,49,Neutral,1.42,2.41,Low,26,57,2026-09-29,,,
2026-09-03,09:30,1788408046,HINDPETRO.NS,HPCL,Bullish,CE,370,359.75,363.35,357.23,6,7.33,5.07,22.17,28,38,Neutral,1.7,2.67,Low,26,56,2026-09-29,,,
2026-09-03,09:30,1788408046,LT.NS,Larsen & Toubro,Bullish,CE,4000,3999.5,4026.26,3980.77,76.05,90.54,65.91,19.05,50,64,Aligned,1.33,1.7,Low,26,53,2026-09-29,,,
2026-09-03,09:30,1788408046,ADANIENT.NS,Adani Enterprises,Bullish,CE,3000,2910.2,2948.13,2883.65,54.8,69.41,44.57,26.66,60,68,Aligned,0.81,2.79,Low,26,50,2026-09-29,,,
2026-09-03,09:30,1788408046,AXISBANK.NS,Axis Bank,Bullish,CE,1280,1269.9,1280.61,1262.4,19,24,15.5,26.32,52,64,Aligned,0.99,2.21,Low,26,47,2026-09-29,,,
2026-09-03,09:30,1788408046,SUNPHARMA.NS,Sun Pharma,Bearish,PE,1940,1922.7,1905.05,1935.06,34.85,44.81,27.87,28.58,40,45,Neutral,0.68,1.52,Low,26,45,2026-09-29,,,
2026-09-03,12:31,1788418865,SUNPHARMA.NS,Sun Pharma,Bearish,PE,1940,1916.7,1898.94,1929.13,36.45,46.83,29.19,28.48,79,65,Neutral,0.71,1.4,Low,26,57,2026-09-29,,,
2026-09-03,12:31,1788418865,BPCL.NS,BPCL,Bullish,CE,320,320,323.42,317.61,8.25,10.05,6.99,21.82,64,71,Aligned,1.03,1.82,Low,26,51,2026-09-29,,,
2026-09-03,12:31,1788418865,ONGC.NS,ONGC,Bearish,PE,240,235.7,233.92,236.95,7,8.15,6.19,16.43,72,76,Aligned,0.38,1.14,Low,26,51,2026-09-29,,,
2026-09-03,12:31,1788418865,GAIL.NS,GAIL (India),Bullish,CE,175,173.73,175.55,172.46,2.97,3.75,2.43,26.26,54,51,Neutral,0.5,2.02,Low,26,48,2026-09-29,,,
2026-09-03,12:31,1788418865,PETRONET.NS,Petronet LNG,Bullish,CE,290,291.05,294.11,288.91,7.1,8.83,5.89,24.37,38,58,Aligned,1.1,1.55,Low,26,45,2026-09-29,,,
2026-09-03,12:31,1788418865,POWERGRID.NS,Power Grid,Bearish,PE,270,267.6,265.24,269.25,5.65,6.95,4.74,23.01,13,31,Neutral,1.37,1.59,Low,26,44,2026-09-29,,,
2026-09-03,14:30,1788426033,ITC.NS,ITC,Bearish,PE,270,264.05,261.38,265.92,7,8.8,5.74,25.71,79,65,Neutral,1.93,1,Low,26,79,2026-09-29,,,
2026-09-03,14:30,1788426033,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1962.7,1945.42,1974.8,49.65,59.96,42.43,20.77,60,55,Neutral,2.23,1.33,Low,26,74,2026-09-29,,,
2026-09-03,14:30,1788426033,POWERGRID.NS,Power Grid,Bearish,PE,270,266.7,264.33,268.36,5.75,7.04,4.84,22.43,58,54,Neutral,1.7,1.57,Low,26,66,2026-09-29,,,
2026-09-03,14:30,1788426033,BAJFINANCE.NS,Bajaj Finance,Bearish,PE,1050,1049.4,1037.69,1057.6,21.6,26.87,17.91,24.4,30,39,Neutral,1.79,2.18,Low,26,60,2026-09-29,,,
2026-09-03,14:30,1788426033,MARUTI.NS,Maruti Suzuki,Bullish,CE,13000,12863,12987.84,12775.61,214.5,270.58,175.24,26.14,16,32,Neutral,1.88,2.31,Low,26,58,2026-09-29,,,
2026-09-03,14:30,1788426033,SUNPHARMA.NS,Sun Pharma,Bearish,PE,1940,1915.9,1898.08,1928.38,39,49.72,31.49,27.49,77,64,Neutral,1.1,1.33,Low,26,58,2026-09-29,,,
2026-09-03,15:31,1788429671,ITC.NS,ITC,Bearish,PE,270,263,260.29,264.89,8.15,10.16,6.75,24.66,91,86,Aligned,2.74,0.74,Low,26,84,2026-09-29,,,
2026-09-03,15:31,1788429671,POWERGRID.NS,Power Grid,Bearish,PE,270,265.6,263.23,267.26,6.2,7.52,5.28,21.29,73,62,Neutral,2.1,1.45,Low,26,78,2026-09-29,,,
2026-09-03,15:31,1788429671,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1962,1944.7,1974.11,50.2,60.58,42.93,20.68,68,73,Aligned,2.97,1.31,Low,26,76,2026-09-29,,,
2026-09-03,15:31,1788429671,RELIANCE.NS,Reliance Industries,Bearish,PE,1320,1302.5,1292.31,1309.63,26.9,32.38,23.06,20.37,66,72,Aligned,1.81,1.6,Low,26,70,2026-09-29,,,
2026-09-03,15:31,1788429671,BAJFINANCE.NS,Bajaj Finance,Bearish,PE,1050,1049,1037.29,1057.2,19.95,24.96,16.44,25.11,36,56,Aligned,2.17,2.21,Low,26,67,2026-09-29,,,
2026-09-03,15:31,1788429671,BPCL.NS,BPCL,Bullish,CE,320,320.05,323.5,317.64,7.85,9.64,6.6,22.8,58,68,Aligned,1.72,1.91,Low,26,66,2026-09-29,,,
